Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,B365H,B365D,B365A,HomePoints,AwayPoints,HomeForm,AwayForm,HomeGolosMarcados_Ultimos6,HomeGolosSofridos_Ultimos6,HomePontos_Ultimos6,HomeRematesBaliza_Ultimos6,AwayGolosMarcados_Ultimos6,AwayGolosSofridos_Ultimos6,AwayPontos_Ultimos6,AwayRematesBaliza_Ultimos6,H2H_Pontos_Casa,HomeDiasDescanso,AwayDiasDescanso,Home_Streak,Away_Streak,Home_Elo,Away_Elo,Jogos_Casa_Realizados,Peso_Jogo
2021-10-03,Belenenses,Tondela,0,2,A,2,5,2.4,3.2,2.9,0,3,4,6,0.8333333333333334,1.3333333333333333,4.0,2.5,1.1666666666666667,2.3333333333333335,3.0,2.8333333333333335,1.0,6,8,0,1,1463.3243220664892,1462.2852732402898,3,0.04999226894608599
2021-10-03,Benfica,Portimonense,0,1,A,7,3,1.2,6.5,15.0,0,3,21,11,2.8333333333333335,0.5,18.0,5.833333333333333,1.0,0.6666666666666666,8.0,4.333333333333333,1.0,8,7,7,0,1592.4785157820434,1512.1892599806586,3,0.04999226894608599
2021-10-03,Estoril,Gil Vicente,2,2,D,4,9,2.15,3.1,3.6,1,1,14,8,1.3333333333333333,0.8333333333333334,11.0,2.6666666666666665,0.8333333333333334,1.3333333333333333,5.0,3.6666666666666665,1.0,6,9,0,-1,1536.6472092442796,1483.3750193066169,3,0.04999226894608599
2021-10-03,Sp Braga,Boavista,2,2,D,8,2,1.44,4.5,6.0,1,1,12,9,1.3333333333333333,1.0,9.0,5.333333333333333,1.5,1.0,9.0,3.5,1.0,7,6,0,0,1523.1921353866,1502.567249112975,3,0.04999226894608599
2021-10-22,Guimaraes,Maritimo,2,1,H,10,3,1.53,4.0,6.5,3,0,10,7,1.5,1.0,9.0,4.166666666666667,0.6666666666666666,1.0,4.0,1.5,1.0,14,14,1,0,1501.0640492272419,1473.5650137120706,4,0.051310518474837835
2021-10-23,Santa Clara,Famalicao,0,2,A,0,5,2.45,3.1,3.0,0,3,6,3,0.6666666666666666,1.8333333333333333,5.0,2.8333333333333335,1.1666666666666667,1.6666666666666667,3.0,5.166666666666667,1.0,14,14,0,-2,1465.3686307944622,1432.6750664333997,4,0.051380855021027766
2021-10-23,Tondela,Porto,1,3,A,2,6,8.5,4.75,1.36,0,3,9,20,1.3333333333333333,2.0,6.0,3.3333333333333335,2.3333333333333335,0.6666666666666666,14.0,5.5,1.0,14,14,2,3,1477.3301324503916,1577.348575981018,4,0.051380855021027766
2021-10-23,Sp Lisbon,Moreirense,1,0,H,4,1,1.22,5.75,13.0,3,0,20,7,1.3333333333333333,0.5,14.0,6.0,1.1666666666666667,2.0,6.0,3.8333333333333335,1.0,14,14,3,0,1577.0875410776953,1473.4148886039472,4,0.051380855021027766
2021-10-24,Pacos Ferreira,Arouca,0,0,D,0,6,1.9,3.6,3.8,1,1,9,5,1.0,1.3333333333333333,6.0,2.8333333333333335,1.3333333333333333,2.0,5.0,4.166666666666667,1.0,14,14,-1,-2,1486.7908005627219,1448.5958570743633,4,0.05145128798467509
2021-10-24,Vizela,Benfica,0,1,A,4,7,7.0,4.33,1.44,0,3,8,21,0.8333333333333334,1.5,5.0,3.6666666666666665,2.5,0.6666666666666666,15.0,6.166666666666667,1.0,14,14,0,-1,1488.0305924131274,1574.0725646267279,4,0.05145128798467509
2021-10-24,Portimonense,Estoril,0,2,A,3,2,2.3,3.1,3.2,0,3,14,15,1.1666666666666667,0.5,11.0,4.0,1.6666666666666667,1.1666666666666667,11.0,3.1666666666666665,1.0,14,14,1,0,1530.595211135974,1534.3651199245096,4,0.05145128798467509
